tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA92-57Be	0	530	30	1.00	-1.00	-	81.7	1.100e+01	8.040e-01	4.000e+00	4.048e-02	2.176e-01	2.720e-02	2.997e+00	4.835e+00	t
NA92-57Be	100	530	30	1.00	-1.00	-	83.9	1.000e+01	7.871e-01	4.000e+00	4.634e-02	2.222e-01	1.144e-01	3.379e+00	5.000e+00	t
NA92-57Bf	0	560	30	1.00	-1.00	-	59.1	1.300e+01	8.712e-01	5.000e+00	2.449e-02	2.298e-01	1.576e-01	1.546e+00	1.463e+00	t
NA92-59a	0	460	30	1.00	-1.00	-	74.8	8.000e+00	7.819e-01	3.000e+00	3.244e-02	2.439e-01	-1.279e-01	2.959e+00	2.361e+00	t
NA92-59a	0	490	30	1.00	-1.00	-	72.4	9.000e+00	8.572e-01	3.000e+00	3.271e-02	2.225e-01	-1.245e-07	2.883e+00	1.779e+00	t
NA92-59a	0	510	30	1.00	-1.00	-	69.7	1.000e+01	8.853e-01	4.000e+00	3.758e-02	2.154e-01	-2.530e-08	2.735e+00	1.482e+00	t
NA92-59a	100	490	30	1.00	-1.00	-	73.2	8.000e+00	8.295e-01	3.000e+00	3.962e-02	2.299e-01	-1.018e-07	2.150e+00	1.524e+00	t
NA92-59f	0	460	30	1.00	-1.00	-	73.5	8.000e+00	8.315e-01	3.000e+00	3.280e-02	2.331e-01	-1.421e-01	2.379e+00	1.144e+00	t
NA92-59f	0	490	30	1.00	-1.00	-	72.4	9.000e+00	8.771e-01	3.000e+00	2.919e-02	2.209e-01	-4.780e-02	2.131e+00	1.103e+00	t
NA92-59f	0	510	30	1.00	-1.00	-	69.5	1.000e+01	9.019e-01	4.000e+00	3.813e-02	2.149e-01	-1.828e-08	1.993e+00	9.505e-01	t
NA92-59f	100	460	30	1.00	-1.00	-	74.8	7.000e+00	7.909e-01	3.000e+00	3.944e-02	2.450e-01	-1.327e-01	1.282e+00	5.714e-01	t
NA92-59f	100	490	30	1.00	-1.00	-	73.2	8.000e+00	8.365e-01	3.000e+00	3.551e-02	2.317e-01	-2.719e-02	1.141e+00	6.553e-01	t
NA92-59f	100	510	30	1.00	-1.00	-	69.8	9.000e+00	8.613e-01	4.000e+00	4.717e-02	2.250e-01	1.312e-01	1.083e+00	5.318e-01	t
NA93-100Ab	0	460	30	1.00	-1.00	-	41.4	8.000e+00	8.039e-01	3.000e+00	2.437e-02	3.646e-01	-9.916e-02	3.217e+00	4.196e+00	t
NA93-100Ab	0	490	30	1.00	-1.00	-	41.5	9.000e+00	8.591e-01	3.000e+00	2.131e-02	3.412e-01	-9.187e-02	3.362e+00	5.432e+00	t
NA93-100Ab	0	510	30	1.00	-1.00	-	41.2	1.000e+01	9.094e-01	4.000e+00	2.015e-02	3.223e-01	3.586e-08	3.659e+00	5.108e+00	t
NA93-100Ab	0	530	30	1.00	-1.00	-	41.2	1.100e+01	9.611e-01	4.000e+00	1.841e-02	3.050e-01	2.400e-08	3.915e+00	5.333e+00	t
NA93-100Ab	100	490	30	1.00	-1.00	-	42.8	8.000e+00	8.174e-01	3.000e+00	1.991e-02	3.586e-01	5.898e-08	3.579e+00	6.303e+00	t
NA93-100Ab	100	510	30	1.00	-1.00	-	42.4	9.000e+00	8.678e-01	4.000e+00	2.065e-02	3.378e-01	9.247e-08	3.974e+00	6.013e+00	t
NA93-100Ac	0	430	30	1.00	-1.00	-	43.8	7.000e+00	7.986e-01	2.000e+00	4.580e-02	4.077e-01	-4.454e-02	3.341e+00	7.750e+00	t
NA93-100Ac	0	460	30	1.00	-1.00	-	42.7	8.000e+00	8.538e-01	3.000e+00	4.386e-02	3.814e-01	6.360e-02	3.251e+00	8.667e+00	t
NA93-100Ac	0	490	30	1.00	-1.00	-	41.9	9.000e+00	8.835e-01	3.000e+00	4.240e-02	3.685e-01	1.228e-01	3.639e+00	9.267e+00	t
NA94-19a	0	490	30	1.00	-1.00	-	57.2	9.000e+00	9.818e-01	3.000e+00	2.651e-02	2.477e-01	1.484e-01	3.930e+00	3.252e+00	t
NA94-19a	0	510	30	1.00	-1.00	-	57.2	1.000e+01	9.902e-01	4.000e+00	2.192e-02	2.456e-01	1.306e-01	3.711e+00	2.580e+00	t
NA94-19a	100	510	30	1.00	-1.00	-	56.9	9.000e+00	9.465e-01	4.000e+00	2.525e-02	2.569e-01	1.463e-01	3.177e+00	2.364e+00	t
NA94-19a	200	490	30	1.00	-1.00	-	55.5	7.000e+00	8.655e-01	3.000e+00	2.993e-02	2.810e-01	1.310e-01	3.207e+00	2.843e+00	t
NA94-19a	200	510	30	1.00	-1.00	-	55.7	8.000e+00	8.739e-01	4.000e+00	2.438e-02	2.783e-01	1.090e-01	3.051e+00	2.274e+00	t
NA94-19a	300	510	30	1.00	-1.00	-	55.1	7.000e+00	7.848e-01	4.000e+00	3.000e-02	3.098e-01	1.191e-01	2.872e+00	2.089e+00	t
NA94-19b	0	460	30	1.00	-1.00	-	59.5	8.000e+00	9.061e-01	3.000e+00	1.952e-02	3.180e-01	9.053e-02	2.506e+00	2.871e+00	t
NA94-19b	0	490	30	1.00	-1.00	-	59.1	9.000e+00	9.807e-01	3.000e+00	1.490e-02	2.938e-01	8.036e-02	2.361e+00	1.984e+00	t
NA94-19b	0	510	30	1.00	-1.00	-	59.3	1.000e+01	9.922e-01	4.000e+00	1.257e-02	2.904e-01	6.332e-02	2.227e+00	1.551e+00	t
NA94-19b	100	460	30	1.00	-1.00	-	59.3	7.000e+00	8.665e-01	3.000e+00	2.306e-02	3.326e-01	1.041e-01	2.526e+00	2.798e+00	t
NA94-19b	100	490	30	1.00	-1.00	-	58.9	8.000e+00	9.410e-01	3.000e+00	1.716e-02	3.062e-01	8.941e-02	2.347e+00	1.934e+00	t
NA94-19b	100	510	30	1.00	-1.00	-	59.2	9.000e+00	9.526e-01	4.000e+00	1.443e-02	3.025e-01	6.985e-02	2.208e+00	1.518e+00	t
