tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA94-19c	100	460	30	1.00	-1.00	-	67.3	7.000e+00	9.226e-01	3.000e+00	2.089e-02	3.018e-01	1.285e-01	2.631e+00	4.258e+00	t
NA94-19c	100	490	30	1.00	-1.00	-	67.1	8.000e+00	9.506e-01	3.000e+00	1.742e-02	2.929e-01	1.094e-01	2.822e+00	3.649e+00	t
NA94-19c	100	510	30	1.00	-1.00	-	67.2	9.000e+00	9.582e-01	4.000e+00	1.514e-02	2.906e-01	9.755e-02	2.927e+00	3.170e+00	t
NA94-19c	200	430	30	1.00	-1.00	-	68.5	5.000e+00	7.804e-01	2.000e+00	2.656e-02	3.568e-01	1.364e-01	2.771e+00	6.186e+00	t
NA94-19c	200	460	30	1.00	-1.00	-	66.9	6.000e+00	8.571e-01	3.000e+00	2.839e-02	3.249e-01	1.578e-01	3.232e+00	5.167e+00	t
NA94-19c	200	490	30	1.00	-1.00	-	66.7	7.000e+00	8.851e-01	3.000e+00	2.316e-02	3.146e-01	1.319e-01	3.455e+00	4.439e+00	t
NA94-19c	200	510	30	1.00	-1.00	-	66.8	8.000e+00	8.927e-01	4.000e+00	1.991e-02	3.119e-01	1.170e-01	3.583e+00	3.857e+00	t
NA94-19d	0	400	30	1.00	-1.00	-	54.3	6.000e+00	8.262e-01	2.000e+00	1.127e-02	3.828e-01	6.984e-02	1.956e+00	4.835e+00	t
NA94-19d	0	430	30	1.00	-1.00	-	53.7	7.000e+00	9.086e-01	2.000e+00	1.100e-02	3.481e-01	7.991e-02	2.193e+00	4.123e+00	t
NA94-19d	0	460	30	1.00	-1.00	-	53.5	8.000e+00	9.612e-01	3.000e+00	9.481e-03	3.290e-01	7.374e-02	2.357e+00	3.552e+00	t
NA94-19d	0	490	30	1.00	-1.00	-	53.7	9.000e+00	9.820e-01	3.000e+00	8.747e-03	3.220e-01	5.051e-02	2.510e+00	3.019e+00	t
NA94-19d	0	510	30	1.00	-1.00	-	53.9	1.000e+01	9.892e-01	4.000e+00	8.684e-03	3.197e-01	3.405e-02	2.528e+00	2.722e+00	t
NA94-19d	100	400	30	1.00	-1.00	-	54.3	5.000e+00	7.993e-01	2.000e+00	1.455e-02	3.957e-01	8.008e-02	1.189e+00	5.310e+00	t
NA94-19d	100	430	30	1.00	-1.00	-	53.7	6.000e+00	8.817e-01	2.000e+00	1.381e-02	3.587e-01	8.802e-02	1.911e+00	4.573e+00	t
NA94-19d	100	460	30	1.00	-1.00	-	53.4	7.000e+00	9.343e-01	3.000e+00	1.169e-02	3.385e-01	7.997e-02	2.258e+00	3.972e+00	t
