tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.6	2019:01:04:11:15:00.00	291.9		g	22.8	1.716e-06	1	3	u	2.730e+02	SAN	0	0	0	0	2.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.6	2019:01:04:14:10:00.00	308.9		g	14.1	1.852e-06	2	3	u	2.730e+02	SAN	0	0	0	0	3.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.6	2019:01:04:16:17:00.00	302.2		g	22.8	1.987e-06	3	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	3.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:05:09:17:00.00	306.9		g	51.2	3.115e-06	4	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	4.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.5	2019:01:05:11:28:00.00	311.5		g	28.3	2.227e-06	5	3	u	2.730e+02	SAN	0	0	0	0	4.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.5	2019:01:05:14:03:00.00	317.0		g	15.3	1.892e-06	6	3	u	2.730e+02	SAN	0	0	0	0	5.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.5	2019:01:05:15:44:00.00	317.8		g	28.2	2.110e-06	7	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	3.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:05:17:49:00.00	311.8		g	63.1	3.945e-06	8	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	5.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.3	2019:01:06:08:29:00.00	315.5		g	67.0	4.790e-06	9	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	6.230e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:06:10:40:00.00	314.3		g	47.4	2.346e-06	10	3	u	2.730e+02	SAN	0	0	0	0	6.230e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.5	2019:01:06:12:45:00.00	318.9		g	30.8	1.857e-06	11	3	u	2.730e+02	SAN	0	0	0	0	6.730e+02
zhang	This study	aniakchak	9Q142-3-1	9Q142-3-	9Q142-3-1		9Q142-3-1:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI		LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	pmagpy-3.4.1	0.4	2019:01:06:14:51:00.00	321.6		g	63.6	3.906e-06	12	3	u	2.730e+02	SAN	0	3.000e-05	0.0	-90.0	5.730e+02
