7060,48.5,53.8,43.2
7050,48.6,53.91,43.29
7040,48.7,54.01,43.39
7030,48.7,54.01,43.39
7020,48.8,54.12,43.48
7010,48.9,54.22,43.58
7000,48.9,54.23,43.57
6990,49,54.34,43.66
6980,49.1,54.44,43.76
6970,49.2,54.55,43.85
6960,49.3,54.65,43.95
6950,49.4,54.75,44.05
6940,49.5,54.85,44.15
6930,49.5,54.85,44.15
6920,49.6,54.95,44.25
6910,49.6,54.95,44.25
6900,49.7,55.05,44.35
6890,49.7,55.05,44.35
6880,49.7,55.05,44.35
6870,49.7,55.04,44.36
6860,49.7,55.04,44.36
6850,49.8,55.14,44.46
6840,49.8,55.15,44.45
6830,49.8,55.15,44.45
6820,49.9,55.26,44.54
6810,49.9,55.26,44.54
6800,49.9,55.27,44.53
6790,50,55.38,44.62
6780,50,55.39,44.61
6770,50.1,55.5,44.7
6760,50.1,55.51,44.69
6750,50.2,55.63,44.77
6740,50.2,55.65,44.75
6730,50.3,55.76,44.84
6720,50.4,55.88,44.92
6710,50.4,55.89,44.91
6700,50.5,56,45
6690,50.6,56.11,45.09
6680,50.6,56.11,45.09
6670,50.7,56.22,45.18
6660,50.7,56.22,45.18
6650,50.8,56.33,45.27
6640,50.9,56.44,45.36
6630,51,56.55,45.45
6620,51.1,56.66,45.54
6610,51.2,56.78,45.62
6600,51.3,56.89,45.71
6590,51.5,57.1,45.9
6580,51.6,57.2,46
6570,51.7,57.31,46.09
6560,51.8,57.42,46.18
6550,51.9,57.54,46.26
6540,52.1,57.76,46.44
6530,52.2,57.89,46.51
6520,52.4,58.13,46.67
6510,52.6,58.37,46.83
6500,52.7,58.5,46.9
6490,52.9,58.73,47.07
6480,53.1,58.96,47.24
6470,53.2,59.08,47.32
6460,53.4,59.3,47.5
6450,53.6,59.52,47.68
6440,53.7,59.63,47.77
6430,53.9,59.84,47.96
6420,54,59.95,48.05
6410,54.1,60.06,48.14
6400,54.3,60.26,48.34
6390,54.4,60.35,48.45
6380,54.5,60.44,48.56
6370,54.6,60.53,48.67
6360,54.7,60.62,48.78
6350,54.8,60.71,48.89
6340,54.8,60.71,48.89
6330,54.9,60.8,49
6320,54.9,60.8,49
6310,54.9,60.79,49.01
6300,54.9,60.78,49.02
6290,54.9,60.77,49.03
6280,54.9,60.75,49.05
6270,54.9,60.73,49.07
6260,54.9,60.71,49.09
6250,54.9,60.69,49.11
6240,54.9,60.66,49.14
6230,54.9,60.64,49.16
6220,54.9,60.61,49.19
6210,54.8,60.49,49.11
6200,54.8,60.46,49.14
6190,54.8,60.43,49.17
6180,54.8,60.39,49.21
6170,54.7,60.26,49.14
6160,54.7,60.23,49.17
6150,54.7,60.2,49.2
6140,54.7,60.18,49.22
6130,54.7,60.17,49.23
6120,54.7,60.15,49.25
6110,54.7,60.14,49.26
6100,54.8,60.23,49.37
6090,54.8,60.21,49.39
6080,54.9,60.29,49.51
6070,54.9,60.27,49.53
6060,55,60.35,49.65
6050,55,60.33,49.67
6040,55.1,60.42,49.78
6030,55.2,60.51,49.89
6020,55.2,60.5,49.9
6010,55.3,60.59,50.01
6000,55.4,60.68,50.12
5990,55.4,60.66,50.14
5980,55.5,60.75,50.25
5970,55.6,60.83,50.37
5960,55.6,60.81,50.39
5950,55.7,60.9,50.5
5940,55.7,60.88,50.52
5930,55.7,60.87,50.53
5920,55.8,60.96,50.64
5910,55.8,60.95,50.65
5900,55.8,60.95,50.65
5890,55.8,60.95,50.65
5880,55.8,60.96,50.64
5870,55.9,61.06,50.74
5860,55.9,61.07,50.73
5850,55.9,61.07,50.73
5840,55.9,61.07,50.73
5830,55.8,60.96,50.64
5820,55.8,60.96,50.64
5810,55.8,60.94,50.66
5800,55.8,60.93,50.67
5790,55.8,60.91,50.69
5780,55.8,60.89,50.71
5770,55.8,60.87,50.73
5760,55.8,60.85,50.75
5750,55.8,60.83,50.77
5740,55.8,60.81,50.79
5730,55.8,60.8,50.8
5720,55.8,60.79,50.81
5710,55.8,60.77,50.83
5700,55.8,60.76,50.84
5690,55.8,60.74,50.86
5680,55.7,60.62,50.78
5670,55.7,60.59,50.81
5660,55.6,60.47,50.73
5650,55.6,60.44,50.76
5640,55.5,60.31,50.69
5630,55.5,60.29,50.71
5620,55.5,60.27,50.73
5610,55.4,60.15,50.65
5600,55.4,60.14,50.66
5590,55.3,60.04,50.56
5580,55.3,60.04,50.56
5570,55.3,60.04,50.56
5560,55.2,59.95,50.45
5550,55.2,59.96,50.44
5540,55.1,59.87,50.33
5530,55.1,59.88,50.32
5520,55,59.79,50.21
5510,55,59.8,50.2
5500,55,59.8,50.2
5490,55,59.81,50.19
5480,55,59.82,50.18
5470,55,59.83,50.17
5460,55,59.83,50.17
5450,55,59.83,50.17
5440,55,59.83,50.17
5430,55,59.83,50.17
5420,55.1,59.93,50.27
5410,55.1,59.93,50.27
5400,55.1,59.94,50.26
5390,55.2,60.05,50.35
5380,55.2,60.06,50.34
5370,55.3,60.18,50.42
5360,55.3,60.2,50.4
5350,55.4,60.31,50.49
5340,55.4,60.33,50.47
5330,55.5,60.44,50.56
5320,55.6,60.55,50.65
5310,55.7,60.65,50.75
5300,55.8,60.75,50.85
5290,55.9,60.85,50.95
5280,55.9,60.85,50.95
5270,56,60.95,51.05
5260,56.1,61.05,51.15
5250,56.2,61.15,51.25
5240,56.2,61.15,51.25
5230,56.3,61.26,51.34
5220,56.4,61.37,51.43
5210,56.4,61.38,51.42
5200,56.4,61.39,51.41
5190,56.5,61.5,51.5
5180,56.5,61.5,51.5
5170,56.5,61.5,51.5
5160,56.5,61.51,51.49
5150,56.6,61.62,51.58
5140,56.6,61.63,51.57
5130,56.6,61.65,51.55
5120,56.7,61.76,51.64
5110,56.7,61.78,51.62
5100,56.8,61.9,51.7
5090,56.9,62.02,51.78
5080,57,62.13,51.87
5070,57,62.15,51.85
5060,57.1,62.26,51.94
5050,57.2,62.38,52.02
5040,57.4,62.6,52.2
5030,57.5,62.72,52.28
5020,57.6,62.84,52.36
5010,57.7,62.96,52.44
5000,57.8,63.08,52.52
4990,58,63.29,52.71
4980,58.1,63.4,52.8
4970,58.2,63.51,52.89
4960,58.3,63.62,52.98
4950,58.4,63.73,53.07
4940,58.5,63.83,53.17
4930,58.6,63.93,53.27
4920,58.7,64.04,53.36
4910,58.8,64.15,53.45
4900,58.8,64.16,53.44
4890,58.9,64.28,53.52
4880,59,64.4,53.6
4870,59.1,64.51,53.69
4860,59.2,64.63,53.77
4850,59.4,64.84,53.96
4840,59.5,64.95,54.05
4830,59.6,65.05,54.15
4820,59.7,65.15,54.25
4810,59.9,65.34,54.46
4800,60,65.44,54.56
4790,60.2,65.64,54.76
4780,60.4,65.84,54.96
4770,60.6,66.04,55.16
4760,60.8,66.24,55.36
4750,61,66.45,55.55
4740,61.2,66.66,55.74
4730,61.4,66.86,55.94
4720,61.5,66.97,56.03
4710,61.7,67.17,56.23
4700,61.9,67.37,56.43
4690,62,67.46,56.54
4680,62.2,67.66,56.74
4670,62.4,67.85,56.95
4660,62.6,68.04,57.16
4650,62.8,68.24,57.36
4640,63,68.44,57.56
4630,63.1,68.54,57.66
4620,63.3,68.74,57.86
4610,63.5,68.95,58.05
4600,63.6,69.05,58.15
4590,63.7,69.15,58.25
4580,63.9,69.34,58.46
4570,64,69.43,58.57
4560,64.1,69.53,58.67
4550,64.2,69.62,58.78
4540,64.3,69.71,58.89
4530,64.5,69.9,59.1
4520,64.6,69.99,59.21
4510,64.7,70.08,59.32
4500,64.9,70.28,59.52
4490,65,70.37,59.63
4480,65.1,70.47,59.73
4470,65.3,70.67,59.93
4460,65.4,70.77,60.03
4450,65.6,70.96,60.24
4440,65.7,71.06,60.34
4430,65.8,71.16,60.44
4420,66,71.35,60.65
4410,66.1,71.44,60.76
4400,66.3,71.64,60.96
4390,66.4,71.73,61.07
4380,66.5,71.82,61.18
4370,66.7,72.01,61.39
4360,66.8,72.1,61.5
4350,66.9,72.19,61.61
4340,67.1,72.38,61.82
